artist,pub_or_prep,item_t,author,author_s,isbn,imprint,language,size,pages,illustrations,concordance,bibliography,index,exhibition_list,cronology,ind_entr_cont,public_note
"Picasso, Pablo",1,Picasso Peintre-Graveur. Catalogue raisonné de l'oeuvre gravé et des monotypes 1932-1934. Volume II,,"['Geiser, Bernhard', 'Scheidegger, Alfred', 'Baer, Brigitte']",3857730277,"Bern : Editions Kornfeld, 1992.",French,31 cm,365,ills.,No,No,Yes,No,No,,"This is a revised edition of the original second volume in the ""Picasso peintre-graveur"" series, which was issued in 1968 (subsequent reprintings) by Bernhard Geiser, with Alfred Scheidegger's collaboration.
Updated here by Brigitte Baer, contains errata for v.1-3-4-5."
"Picasso, Pablo",1,Picasso Lithographe. IV,,"['Mourlot, Fernand', 'Sabartes, Jaime']",,"Monte Carlo : A. Sauret, 1964.",French,33,152,"b&amp;w, 85 color ills., 2 original lithographs",No,No,No,No,No,,
"Picasso, Pablo",1,Picasso Lithographe. III,,"['Mourlot, Fernand', 'Sabartes, Jaime']",,"Monte Carlo : A. Sauret, 1957.",French,33 cm,159,"93 b&amp;w, color pl., 2 original lithographs",No,No,No,No,No,,
"Picasso, Pablo",1,Picasso Lithographe. II.,,"['Mourlot, Fernand', 'Sabartes, Jaime']",,"Monte Carlo : A. Sauret, 1950.",French,33 cm,104,"105 b&amp;w and color pl., 2 original lithographs",No,No,No,No,No,,
"Picasso, Pablo",1,Picasso Lithographe. I,,"['Mourlot, Fernand', 'Sabartes, Jaime (Preface)']",,"Monte Carlo : A. Sauret, 1949.",French,33 cm,155,"b&amp;w and color, plus 2 original lithographs",No,No,No,No,No,,"Picasso designed original lithographs for all four volumes of  the original French edition.
An English language single volume edition, enitltled ""Picasso Lithographs"", translated. by Jean Didry, was also published by Boston Book and Art Co., Boston, 1970.

Alan Wofsy has also published a revised edition Mourlot's four-v.catalogue in a 2 v.edition, San Francisco, 2009, listed in this database under the series: ""Picasso Project"""
"Picasso, Pablo",1,"Picasso : The Blue and Rose Period ; a Catalogue Raisonné of the Paintings, 1900-1906.",,"['Daix, Pierre', 'Boudaille, George', 'Rosselet, Joan (catalogue)']",,"Greenwich, CT : New York Graphic Society, [1967].",English,33 cm,348,"770 b&amp;w, 61 color plates",No,Yes,No,Yes,No,Provenance; Exhib. Hist; Bibliog.; Comments,"This is a translation of ""Picasso 1900-1906 : catalogue raisonné de l'oeuvre peint 1900, 1901, 1906 / Pierre Daix ; 1902 à 1905 Georges Boudaille"" (1966). A later revised 1988 reprint of the original French edition is also cited in this database.

See also Daix's companion volume: ""Le cubisme de Picasso…"" (cited in this database)."
"Picasso, Pablo",1,Pablo Picasso : Catalogue of the Printed Graphic Work and Catalogue of the Printed Ceramics. Volume IV: 1970-1972 and Supplement to Volumes I and II.,"Bloch, Georges",,3857730099,"Bern : Editions Kornfeld et Klipstein, 1979.",,33 cm,252,"1,851 b&amp;w",No,No,No,No,No,,"This is the fourth and final volume in Bloch's series on Picasso's printed graphics; it also contains supplements to the first and second volumes.
See also: ""Picasso Project"" [v. 17], which is a revised edition Bloch v. IV published in 2005, cited in this database."
"Picasso, Pablo",1,"Pablo Picasso : Catalogue of the Printed Graphic Work and Catalogue of the Printed Ceramics. Volume III: Catalogue of the Printed Ceramics, 1949-1971.","Bloch, Georges",,,"Bern : Editions Kornfeld et Klipstein, 1972.",,30 cm,198,"141 b&amp;w ills., 86 color plates",No,No,No,No,No,,"This, the third volume, covers the ceramic work, 1949-1971."
"Picasso, Pablo",1,Pablo Picasso : Catalogue of the Printed Graphic Work and Catalogue of the Printed Ceramics. Volume I: 1904-1967.,"Bloch, Georges",,,"Bern : Editions Kornfeld et Klipstein, 1971.",,30 cm,310,"1,399 b&amp;w ills., 16 color plates",No,Yes,No,No,No,,"""Catalogue de l'oeuvre gravé et lithographié, 1904-1967"". Captions are in French.
Originally published on the occasion of an exhibition held in Zurich, 1968. This is a revised edition of the first volume of Georges Bloch's four volume study on Picasso's graphic work and ceramics. Editions Kornfeld also issued a new edition in 1999."
"Picasso, Pablo",1,Pablo Picasso : Catalogue of the Printed Graphic Work and Catalogue of the Printed Ceramics. Volume II: 1966-1969.,"Bloch, Georges",,,"Bern : Editions Kornfeld et Klipstein, 1986.",,30 cm,348,"1,854 b&amp;w",No,Yes,No,No,No,,"Catalogue de l'oeuvre gravé et lithographié., 1966-1969.
Originally published in 1971, this is the third edition of the second volume of Georges Bloch's four volume study on Picasso's graphic work and ceramics.
See also: ""Picasso Project"" [v. 16] which is a revised edition of Bloch v.II published in 2005,  cited in this database."
"Picasso, Pablo",1,Picasso's Posters.,"Czwiklitzer, Christopher",,0394472225,"New York : Random House, 1970",English,35 cm,365,"295, b&amp;w and some color",No,No,Yes,No,No,,"The French edition of this book was issued under the title: ""Les affiches de Picasso"", Paris, 1970.

The author also published a later study on Picasso's posters: ""Picasso, Plakate 1923-1973 : Werkverzeichnis"" (Munich ; Deutscher Taschenbuch Verlag, 1981).

The publication includes chronological and geographical indices."
"Picasso, Pablo",1,Céramique de Picasso.,"Ramié, Georges",,2702200885,"Paris : Editions Cercle d'Art, 1974.",French,28 cm,292,"b&amp;w, some color",No,No,No,No,No,,"Documents the 20 some year period when Picasso made original and editioned ceramics at Ramié's Atelier Madoura in the ancient pottery region of Vallauris, in southern France."
"Picasso, Pablo",1,"Le Cubisme de Picasso : catalogue raisonné de l'oeuvre peint, 1907-1916.",,"['Daix, Pierre', 'Rosselet, Joa']",,"Neuchâtel : Ides et Calendes, 1979.",French,34 cm,377,"1,007 b&amp;w, 52 color",No,Yes,Yes,No,No,Provenance; Exhib. Hist; Bibliog.; Comments,"An English edition entitled ""Picasso, the Cubist Years, 1907-1916: A Catalogue Raisonné of the Paintings and Related Works,"" was published by Thames and Hudson, London, 1979; an American edition was also published by the New York Graphic Society, Boston in the same year. Dorothy S. Blair translated the French edition into English.

See also Daix's earlier volume: ""Picasso: The Blue and Rose Period: A Catalogue Raisonné of the Paintings, 1900-1906"" (published in French as ""Picasso 1900-1906: catalogue raisonné de l'oeuvre peint"" (1966); and the reprint ed. (1998), all cited in this database."
"Picasso, Pablo",1,Pablo Picasso : The Illustrated Books: Catalogue Raisonné.,,"['Goeppert, Sebastia', 'Goeppert-Frank, Her', 'Cramer, Patrick']",,"Geneva : Patrick Cramer, 1983.",,32 cm,429,"b&amp;w, color",No,Yes,Yes,No,Yes,,"A catalogue of 156 books and publications containing original graphic designs by the artist, fully illustrated and described."
"Picasso, Pablo",1,"Picasso, the Early Years, 1881-1907.","Palau i Fabre, Josep",,0847803155,"New York : Rizzoli, 1981",English,32 cm.,560,361 color; 1226 b&amp;w ills.,No,Yes,No,No,No,Provenance; Bibliog.; Comments,"An almost complete catalogue of paintings and drawings from 1881 - 1907.  More than 1500 paintings and drawings included.  Originally published as ""Picasso vivent 1881-1907. Infantesa I primera joventut d'un demiurg"" (Barcelona: Ediciones Poligrafa, 1980)."
"Picasso, Pablo",1,Je suis le cahier : The Sketchbooks of Pablo Picasso.,,"['Glimcher, Arne', 'Glimcher, Marc', 'Krauss, Rosalind et al.']",0871130823,"Boston : Atlantic Monthly Press; New York : Pace Gallery, 1986.",English,32 cm,349,over 400 b&amp;w and color; 174 plates,No,Yes,No,No,No,,"Published in conjunction with an exhibition at Pace Gallery, NY, this is a catalogue raisonné of the artist's previously unpublished 175 private sketchbooks. 

The catalogue raisonné was compiled by Matthew Marks. Additional contributors include: Sam Hunter, Gert Schiff, Françoise Gilot, and Claude Picasso."
"Picasso, Pablo",1,"Picasso 1900-1906 : catalogue raisonné de l'oeuvre peint : 1900, 1901, 1906, Pierre Daix ; 1902 à 1905, Georges Boudaille ; catalogue établi avec la collaboration de Joan Rosselet",,"['Daix, Pierre', 'Boudaille, George', 'Rosselet, Joa']",,"Neuchâtel : Editions Ides et Calendes, 1988",French,33,383,,No,Yes,No,No,No,,"A revised reprint with a new introduction of the original  l966 French edition (which was published in English as ""Picasso; The Blue and Rose Period…"", cited in this database).
See as well  the author's companion study: ""Le cubisme de Picasso…, 1979"", also cited in this database."
"Picasso, Pablo",1,Picasso in His Posters : Image and Work.,"Rodrigo, Luis Carlos",,,"[Madrid] : Arte Ediciones, 1992.",English,31 cm,2425,ca. 650 color plates,No,Yes,Yes,No,No,,
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue : Synthetic Cubism - 1913-1916.","Chipp, Herschel",,9781556603327,"San Francisco : Alan Wofsy, 2016.",,32 cm,448,"1,100 ills.; 8 color pl.",Yes,No,No,No,Yes,Bibliog.,"This volume covers the works from the period 1913-1916, executed in Paris, Céret, Avignon, and Montrouge.

According to the publisher, this volume constitutes the 28th and final volume in the Picasso Project Series."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue. The African Period 1907-1909, Paris and La Rue-des Bois.",,"['Chipp, Herschel', 'Hyman, Ala']",,"San Francisco : Alan Wofsy Fine Arts, 2014.",,32 cm,334,"1,108 b&amp;w, 4 color plates",Yes,Yes,No,No,Yes,,Catalogue entries are in English and French.
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue. Analytic Cubism - 1909-1912 : Paris, Céret, Sorgues and Horta de Sant Joan.",,"['Chipp, Herschel', 'Hyman, Ala']",1556603312,"San Francisco ; Alan Wofsy, 2015.",,32 cm,"lxv, 333",b&amp;w and 8 color plates,Yes,Yes,No,No,Yes,,800 works are described and reproduced.
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue. The Complete Linoleum Cuts : 1939-1968.",,"['Chipp, Herschel', 'Jardines, Mariel']",9781556603297,"San Francisco : Alan Wofsy Fine Arts, 1995.",,32 cm,,,No,No,No,No,No,,
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue. The Rose Period, 1905-1906 : Paris, Holland, and Gósol.",,"['Chipp, Herschel', 'Jardines, Mariel']",9781556603280,"San Francisco : Alan Wofsy Fine Arts, 1995.",,32 cm,,,No,No,No,No,No,,
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp;  Sculpture. A Comprehensive Illustrated Catalogue 1885-1973. Blue Period, 1902-1904 : Barcelona and Paris.",,"['Chipp, Herschel', 'Jardines, Mariel', 'Bloch, George', 'Wofsy, Ala']",9781556603273,"San Francisco : Alan Wofsy Fine Arts, 2010.",,32 cm,,,Yes,No,No,No,Yes,,"Text in English; catalogue entries in English and French. Titles are given in English, French, Spanish and Catalan, where applicable. Entries contain date, medium and dimensions."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. Lithographic Work, Volume II, 1949-1969.",,"['Moulot, Fernand', 'Jackson, Jeffrey Brian (transl.)']",9781556603259,"San Francisco : Alan Wofsy Fine Arts, 1995-",,32 cm,,,No,No,No,No,No,,"This is a revised and expanded edition of Mourlot's ""Picasso lithographe"" (1956 and 1964) and ""Picasso lithographs"" (1970)."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue. Lithographic Work, Volume I, 1919-1949.",,"['Mourlot, Fernand', 'Jackson, Jeffrey Brian (transl.)']",9781556603242,"San Francisco : Alan Wofsy Fine Art, 2009.",,32 cm,618,"b&amp;w, some color",Yes,No,No,No,Yes,,"The series covering the graphic art is composed of five volumes. These include revised and expanded editions of Bloch's catalogues of Picasso's graphic work, now in 2 volumes with English translations, Mourlot's catalogues of Picasso's The Lithographic Work now in 2 volumes, and a reprint of The Complete Linocuts."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Youth in Spain II, 1897-1900.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556603223,"San Francisco : Alan Wofsy Fine Arts, 2008.",,32 cm,366,1200 b&amp;w,Yes,Yes,No,No,Yes,,This volume contains illustrations of works created by Picasso from 1897-1900.
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Youth in Spain I. 1889-1897.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556603215,"San Francisco : Alan Wofsy Fine Arts, 2008.",,32 cm,385,,Yes,Yes,No,No,Yes,,This volume contains illustrations of works created by Picasso from 1889-1897.
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture : Turn of the Century, 1900-1901.","Chipp, Herschel",,9781556603235,"San Francisco : Alan Wofsy Fine Art, 2010.",English,32 cm,304,"c. 878 b&amp;w, 8 color",No,No,No,No,No,,
"Picasso, Pablo",1,"Picasso : Catalogue of the Printed Graphic Work, 1970-1972, and Supplement to Volume I.",,"['Bloch, George', 'Hayman, Ala']",1556603169,"San Francisco : Alan Wofsy Fine Art, 2004.",,32 cm,240 p.,c.270 ill.,Yes,Yes,No,No,Yes,,"Publisher's statement: ""These revised  Bloch volumes are now within the ""Picasso Project"" and follow a similar format to the other volumes in the series.""
This is an authorized revision of the earlier Bloch catalogue (published  by Editions Kornfeld &amp;  Klipstein, Bern, 1971) with concordances to that, and the other standard references on Picasso's graphic works.
Titles and descriptions are given in English here."
"Picasso, Pablo",1,"Picasso : Catalogue of the Printed Graphic Work, 1966-1969 [v.1 of the printed work]","Bloch, Georges",,1556603150,"San Francisco : Alan Wofsy Fine Art, 2004.",,32 cm,272,c. 455 ill.,Yes,No,No,No,Yes,,"Publisher's statement: ""These revised Bloch volumes are now within the ""Picasso Project"" and follow a similar format to other volumes in the series.""  This is an authorized revision of the earlier Bloch catalogue (published by Editions Kornfeld &amp;  Klipstein, Bern, 1971) with concordances to that, and the other standard references on Picasso's graphic works. The present volume is Vol. 1 of the graphic work and Vol. 16 of the Picasso Project Series.  Titles and descriptions are given in English."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. The Final Years, 1970-1973.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556603053,"San Francisco : Alan Wofsy Fine Arts, 2004.",,32 cm,384,ill.,Yes,No,No,No,No,,"A revised and enlarged second edition of this volume was published in 2015 (isbn 1556603479; 9781556603471).
 
The second edition has 20 additional pages and 8 new color plates.  It also includes newly listed works from two of artist's late sketchbooks from the years 1970-1971 (the ""Birthday"" and the Berggruen albums), as well as the last known work done by Picasso, a musketeer dated March 10, 1973."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. The Sixties III, 1968-1969.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556603134,"San Francisco : Alan Wofsy Fine Arts, 2003.",,32 cm,320,ca. 900,Yes,Yes,No,No,Yes,,
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue, 1885-1973. The Sixties II, 1964-1967.",,"['Chipp, Herschel', 'Wofsy, Ala', 'Hyman, Ala', 'Barich, Steve']",1556603045,"San Francisco : Alan Wofsy Fine Arts, 2002.",,32 cm,432,"1,132 b&amp;w",Yes,Yes,No,No,Yes,,
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. The Sixties I, 1960-1963.",,"['Chipp, Herschel', 'Wofsy, Ala', 'Hyman, Ala', 'Barich, Steve']",1556603037,"San Francisco : Alan Wofsy Fine Arts, 2002.",,32 cm,448,1329 b&amp;w,Yes,Yes,No,No,Yes,,
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. The Fifties II, 1955-1959.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556603029,"San Francisco : Alan Wofsy Fine Arts, 2000.",,32 cm,400,ca. 900,Yes,No,No,No,No,,
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973.The Fifties I, 1950-1954.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556603010,"San Francisco : Alan Wofsy Fine Arts, 2000.",,32 cm,376,ca. 900,Yes,No,No,No,No,,
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Liberation and Post-War Years, 1944-1949.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556602375,"San Francisco : Alan Wofsy Fine Arts, 1999.",,32 cm,235,ca. 900 b +w,Yes,Yes,No,No,Yes,,
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Nazi Occupation, 1940-1944.`",,"['Chipp, Herschel', 'Jardines, Mariel']",1556602367,"San Francisco : Alan Wofsy Fine Arts, 1999.",,32 cm,400,ca. 900,Yes,No,No,No,No,,"A second revised edition of this volume was issued in 2013 (San Francisco: Alan Wofsy Fine Arts). 

The revised edition has an additional 40 pages, as well as 8 new color plates, addenda, and corrigenda. The second edition also includes works that had been inadvertently excluded from the first."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Europe at War, 1939-1940.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556602359,"San Francisco : Alan Wofsy Fine Arts, 1998.",,32 cm,248,ca. 900,Yes,No,No,No,No,,"A second revised edition of this volume was issued in 2013 (San Francisco: Alan Wofsy Fine Arts, ISBN 9781556603341).  

The enlarged edition lists 850 works, additional color plates, addenda, and corrigenda."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Spanish Civil War, 1937-1939.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556602626,"San Francisco : Alan Wofsy Fine Arts, 1997.",,32 cm,288,ca. 900,Yes,No,No,No,No,,"A second revised edition of this volume was issued in 2013 (San Francisco: Alan Wofsy Fine Arts, ISBN 9781556603365). 

The revised edition has 16 additional pages, as well as 8 new color plates, addenda, and corrigenda."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Surrealism, 1930-1936.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556602340,"San Francisco : Alan Wofsy Fine Arts, 1997.",,32 cm,336,ca. 900,Yes,No,No,No,No,,"A revised editon of this volume was published in 2009.

See also ""Picasso's Paintings, Watercolors, Drawings &amp; Sculpture … From Cubism to Neoclassicism, 1917-1919"" listed in this series, for full introductory note."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Toward Surrealism, 1925-1929.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556602332,"San Francisco : Alan Wofsy Fine Arts, 1996.",,32 cm,243,ca. 900 b&amp;w,Yes,Yes,No,No,Yes,,"This volume was reprinted  in 2007.

See also ""Picasso's Paintings, Watercolors, Drawings &amp; Sculpture…: From Cubism to Neoclassicism, 1917-1919"" for full introductory notes."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Neoclassicism II, 1922-1924.`",,"['Chipp, Herschel', 'Jardines, Mariel']",1556602324,"San Francisco : Alan Wofsy Fine Arts, 1996.",,32 cm.,269,ca. 900,Yes,Yes,No,No,Yes,,"This volume was reprinted in 2007.

See ""Picasso""s Paintings, Watercolors, Drawings &amp; Sculpture…: From Cubism to Neoclassicism, 1917-1919"", listed in this series, for full introductory note."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue. From Cubism to Neoclassicism, 1917-1919.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556602308,"San Francisco : Alan Wofsy Fine Arts, 1995.",,32 cm,320,ca. 900 b+w,Yes,Yes,No,No,Yes,Bibliog.,"This volume was reprinted in 2007.

General information about the ""Picasso Project"" series: 
The series covers the painted works, projected to have about 28 volumes in all, including the African period, Cubist periods, as well all periods of the artist's work until to the end of his life. 
The Project also includes revised reprints of Bloch's and Mourlot's catalogues of the graphic works and linocuts (in 5 volumes).
Most volumes have title entries in English &amp; French (early works are given with their Spanish &amp; Catalan titles).
There are concordances to Zervos and other standard works, plus references to some auction sales.
The last volume entitled ""Synthetic Cubism 1912-1917"" is scheduled for publication in 2016."
"Picasso, Pablo",1,"Picasso's Paintings, Watercolors, Drawings &amp; Sculpture. A Comprehensive Catalogue 1885-1973. Neoclassicism I, 1920-1921.",,"['Chipp, Herschel', 'Jardines, Mariel']",1556602316,"San Francisco : Alan Wofsy Fine Arts, 1995.",,32 cm,304,ca. 900,Yes,Yes,No,No,Yes,,"This volume was reprinted in 2007.

See also ""Picasso's Pantings, Watercolors, Drawings &amp; Sculpture…: From Cubism to Neoclassicism, 1917-1919"", listed in this series, for full introductory note."
"Picasso, Pablo",2,,"Widmaier Picasso, Diana",,,,,,,,,,,,,,
"Picasso, Pablo",1,Carnets : Catalogue des dessins du Musée Picasso.,,"['Léal, Brigitte', 'Sudour, Jeanne-Yvette']",2711831531,"Paris : Réunion des musées nationaux, 1996.",French,27 cm.,400; 328,"v.1: 1840, including 16 color; v.2: 1391, including 16 color",No,Yes,Yes,No,No,,"A catalogue of the drawings within the important holdings of the Musée nationale Picasso, Paris"
"Picasso, Pablo",1,On-line Picasso Project.,"Mallen, Enrique",,,https://picasso.shsu.edu/index.php,English,,,"numerous b&amp;w, color ills.",Yes,Yes,No,Yes,Yes,Provenance; Exhib. Hist; Bibliog.,"The project is an academic research project supported by Sam Houston University in Texas.  Access to the online catalogue raisonné is free, but users must contact the project to request a login.

The online catalogue raisonné lists over 26,000 works by Picasso in all media.  The catalogue can be searched by keyword, date, collection.  There is an extensive bibliography with links to articles and other resources available in full text.  The catalogue also includes a separate archives section with texts of the documents transcribed, and a digitized (non-scalable) image of the original document when available."
"Picasso, Pablo",1,Picasso : The Art of the Poster = die Plakatkunst = l'art de l'affiche : From the Collection of the Kunstmuseum Heidenheim.,,"['Gundel, Marc', 'Hirner, René']",9783791322773,"New York : Prestel, 2000.",,31 cm,95,"65 color, 20 b&amp;w",No,Yes,No,No,No,Bibliog.,"The catalogue raisonné was published in conjunction with an exhibition held at the Versicherungskammer Bayern, Munich, 2000."
"Picabia, Franc",2,,",",,,,,,,,,,,,,,
"Picasso, Pablo",1,Pablo Picasso : The Lithographs.,,"['Reusse, Felix', 'Deschamps, Henri', 'Franz, Erich', 'Gauss, Ulrike']",3775709819,"Ostfildern-Ruit : Hatje Cantz Verlag ; New York : distributed in the US by DAP, 2000.",English,25 cm,304,"870 color, 20 b&amp;w plates",Yes,Yes,No,No,Yes,,"The publication includes works mostly from the Huizinga Collection in the Graphikmuseum Pablo Picasso, Münster. 

The catalogue presents the entire lithographic oeuvre (855 items) with many rare, unique, or unpublished examples (some of the lithographs are originally from the Mourlot collection). Every printed sheet is listed individually."
"Picasso, Pablo",1,"Pablo Picasso, the Sculptures.",,"['Spies, Werner', 'Piot, Christine']",3775709096,"Ostfildern-Ruit : Hatje Cantz, 2000.",English,33 cm,440,"192 color, 1,082 b&amp;w",Yes,Yes,Yes,No,Yes,,"Published on the occasion of an exhibition, Centre Pompidou, Paris, 2000.  This is a thoroughly revised edition of Werner Spies's original survey of Picasso's sculpture, accompanied by a catalogue of about 740 works.  An essential part of this work is based on the authors' conversations with the artist."
"Picasso, Pablo",1,"Pablo Picasso / by Christian Zervos [new English ed., 2013].","Zervos, Christian",,9782851171405,"Paris : Éditions ""Cahiers d'art"", 2013.",English,33 cm,,"approx. 16,000 b&amp;w",No,No,No,No,No,,"This is a limited re-edition of the original catalogue (33 v. in 34 v., published from 1932-1978).  
The set is now offered in two separate numbered language editions (for the first time in English, as well as the original French).  
The new series is essentially a re-publication of the original (issued with the approval of the Picasso estate) by the reconstituted publisher ""Cahiers d'art"", under the direction of its new owner Staffan Ahrenberg.
Some revisions have been made including 30 updates, a small amount of factual corrections and a few deleted works plus meaurements being given in inches as well as centimeters for the English edition.
The original catalogue is now also available for the first time in Chinese."
"Picabia, Franc",1,Francis Picabia : Catalogue Raisonné. Vol. 2: 1915-1927.,,"['Camfield, Willi', 'Calté, Beverley', 'Clements, Candace', 'Pierre, Arnauld', 'Verdier, Aurélie', 'Calté, Pierre']",9780300222463,"New Haven and London : Yale University Press ; Brussels : Mercatorfonds, 2016.",,30 cm,550,"25 b&amp;w, 600 color",No,Yes,Yes,Yes,Yes,Provenance; Exhib. Hist; Bibliog.; Comments,"The bilingual text appears on facing pages. This volume documents the artist's work as part of the Paris Dada Movement (through his compositions, writings, designs, collages, performances, etc.)."
"Picabia, Franc",1,Francis Picabia : Catalogue Raisonné. Vol. 1: 1898-1914.,,"['Camfield, William A.', 'Calté, Beverly', 'Clements, Candace', 'Pierre, Arnauld', 'Calté, Pierre']",9789462300583,"Brussels : Mercatorfonds, 2014.",,31 cm,424,"50 b&amp;w, 425 color",No,Yes,Yes,Yes,Yes,Provenance; Exhib. Hist; Bibliog.; Comments,"The first of four volumes, covering the artist's work in all media. The photo-mechanically reproduced illustrations by Picabia, which are a significant part his production, will be included in the relevant chronological volume. Most works on paper will be published in a later annex volume, along with works discovered after publication of the original 4-vol. set.

The texts are bilingual, but the catalogue raisonné is only in English.

Volume 1 covers Picabia's early Impressionist works,  first experiments with Cubism and experiments with printmaking.  It includes introductory material, a  description of the methodology, a selected chronology, a biography of the artist, a critical essay by Arnauld Pierre, as well as exhibition information, bibliography, and indices."
"Piero, della Francesca",1,The Complete Paintings of Piero della Francesca.,,"['Vecchi, Pierluigi de', 'Murray, Peter (intro.)']",,"New York : N. H. Abrams, 1967.",English,32 cm,111,some color,Yes,Yes,Yes,No,Yes,Provenance; Bibliog.; Comments,"Full color images for all entries with additional black and white photographs.  The Appendix includes an essay on Piero's draftsmanship and treatises.  There are also title and topographical indices, and a chronology."
"Piero, della Francesca",1,Piero della Francesca : catalogo completo dei dipinti.,"Paolucci, Antonio",,8877370718,"Florence : Cantini Editore, 1990.",Italian,21 cm,159,"98 color, 4 b&amp;w",No,Yes,Yes,No,Yes,Provenance; Comments,"The catalogue raisonné lists 20 paintings by the artist, and includes lost works. There is also a geographical index of collections housing Piero's works."
"Piero, della Francesca",1,Piero della Francesca.,,"['Battisti, Eugenio', 'Dalai Emiliani, Mari']",8843539043,"Milan : Electa, 1992.",Italian,29 cm,688,"b&amp;w, 539 color",No,Yes,Yes,No,Yes,Provenance; Bibliog.; Comments,"The second edition revises and expands the author's original 1971 publication (Milan: Istituto Editoriale Italiano).

The appendices include excerpts of documents related to Piero's life and a discussion of the conservation and restoration of his paintings."
"Piero, della Francesca",1,Piero della Francesca.,"Bertelli, Carlo",,0300057032,"New Haven : Yale University Press, 1992.",,30 cm,240,"70 b&amp;w, 130 color",No,Yes,Yes,No,Yes,Provenance; Comments,"The publication of the catalogue coincided with the 500th anniversary of Piero's death. The catalogue is divided into two parts. The first contains a biography of the artist and a discussion of his scientific and mathematical treatises. The second part includes the catalogue raisonné, which lists 20 authentic paintings."
"Piano, Renzo",1,Renzo Piano Building Workshop : Complete Works. Vol. 5.,"Buchanan, Peter",,9780714844725,"London : Phaidon Press, 1993-",English,31 cm,280,"170 b&amp;w, 450 color",No,Yes,Yes,No,No,,Fifth volume of the catalogue raisonné. Complete catalogue of Piano's building projects and technical designs from 2000 to the date of publication.
